url,name,artist
https://open.spotify.com/track/15dqLlx7trMvmSZ8zkc06g,Catch It,Eddy M
https://open.spotify.com/track/2MiHh2WSmDuT4cXQrhmHhm,Get Them Up,Dennis Cruz
https://open.spotify.com/track/7yc6179prFyzNZrZce4P6n,Mother F*cker - Original Mix,Dennis Cruz
https://open.spotify.com/track/3iRTHIyYP6XjnENf4gtsv1,Xfer,Tom Flynn
https://open.spotify.com/track/2IFhlThFS4uAfNDqW5Yz21,Gyoza,Sandhog
https://open.spotify.com/track/4th8ilhI2cy95dtayjBkIY,Ex Stacy - Original Mix,Eddy M
https://open.spotify.com/track/1vgCv219aQ5vmuMEJXsili,Toxic Funk - Dennis Cruz Remix,Ramon Tapia
https://open.spotify.com/track/42hz3kZQkqzVPdL3ryXIJR,Ergot,Damian Lazarus
https://open.spotify.com/track/3n8TM8osvrpkm7IddlaO4Q,A Walk in the Park,DJ Minx
https://open.spotify.com/track/4hmKziZXTpDbqBqW7hZW7V,Rayna - Shanti Celeste Remix,Trance Wax
https://open.spotify.com/track/24tuWPgp43mpkwzpPAU8Nm,Five,Dennis Cruz
https://open.spotify.com/track/7LbsagJsz9Q2pjyXuwfGmr,Work This Track - 126 Bpm,Truncate
https://open.spotify.com/track/6jJCWrVHO9mwffWRkOyyL3,Going Up,Eddy M
https://open.spotify.com/track/0E9MKGeiIs2qmh4rRqAyBI,WRKTRX 3,Truncate
https://open.spotify.com/track/6ytVMBHu1ZXvaBvufHCBOX,Bon Bini,Shermanology
https://open.spotify.com/track/14YMw2tTdGhzgsLD3qDQBe,Baby,Avision
https://open.spotify.com/track/6Wo1cCSKrsvpxkaVRp5pmL,Que Pasa?,YUNG PRADO
https://open.spotify.com/track/6jylAiC8zlUUM8pE9OMuN1,Digging,Arapu
https://open.spotify.com/track/1gSANgZerYiT7UiY2T0avU,Here And Now - INVU's Lexicon Remix,Markus Homm
https://open.spotify.com/track/68XJmYJEuMIbjCDADWTJkz,Constructive,Isaiah
https://open.spotify.com/track/59o3C0YoClwrlHUUrF9Dyg,WE MOVE - EXTENDED MIX,PAWSA
https://open.spotify.com/track/40DK73egFuf6OFtqJcz393,So Dope,Gaetano Inglese
https://open.spotify.com/track/3pBs6emMoVQrEgdBstjBdP,This Time,Pirate Copy
https://open.spotify.com/track/2vLfpC66OKHOZMJyCwURIv,Closer,Jaden Thompson
https://open.spotify.com/track/1JHDOZwCXIKv4zMAHfyZ1T,Sun Express - Emergency Mix,Fantastic Man
https://open.spotify.com/track/0mvvlkLNdd5tOI7tf0oInQ,Back to the Old,Squicciarini
https://open.spotify.com/track/4i8TlU7xkI4Jt1cU9QoBVF,We Came,Santé
https://open.spotify.com/track/5yQveXsitfIcu4dHjYalIw,Binford,Matthias Tanzmann
https://open.spotify.com/track/5NhOxBpy1uUfee1bAhM2dj,Without You,Classmatic
https://open.spotify.com/track/3CDLCGJjITEaNc4kBbkX3j,Satisfy Me feat. Cami Jones,Andre Salmon
https://open.spotify.com/track/3up41rM3AWS4eEsGF9vMFy,19,Piem
https://open.spotify.com/track/5xdvqkpaLTEnE9dRL1CE1t,Get Up Monkey,Neverdogs
https://open.spotify.com/track/45Pp2UotSRIVdFxNZurcxj,Monkey Beat - Fortyseven Macaco Mix,Neverdogs
https://open.spotify.com/track/5aQ0UvMIM30tfFRnhXX4iH,Paranoia,John Tejada
https://open.spotify.com/track/7khVdbJRrnPtP3Lc5GkjBc,Jus' Listen,Luuk Van Dijk
https://open.spotify.com/track/03cy6hMyW9Y07tJuF2bIg3,10AM Fuse,Seb Zito
https://open.spotify.com/track/1hibiUX5784qc13bvpYH6J,Clover,Yamil
https://open.spotify.com/track/1mQH6fdaOa8lWlzSnW6lPD,Onset,Latmun
https://open.spotify.com/track/55pfe5qLqEaUEx0SaEW8pb,A Whole Lot,Jhacker Flow Music
https://open.spotify.com/track/1UNHpqrLHpbPHpbrC94WjG,Business & Pleasure,Dennis Cruz
https://open.spotify.com/track/6plNXXLjNON1vD5G3AwEKO,On The Run - Antonio Rec Remix,Piem
